code,category,value,areaName,avgPerReg,avgPerCat,popDensity,pop,avgPricePerReg,popDensityAvg,popAvg,avgPricePerReg2
W92000004,detached,384395,Wales,28.53472574,6.681349372,149.9,3107494,218000,149.9,3107494,218000
W92000004,semiDetached,431871,Wales,32.05900322,5.529594407,149.9,3107494,218000,0,0,0
W92000004,terraced,358035,Wales,26.57794855,6.238122808,149.9,3107494,218000,0,0,0
W92000004,flats,126662,Wales,9.402477743,3.069529836,149.9,3107494,218000,0,0,0
W92000004,sharedHouse,24451,Wales,1.815066739,2.891542613,149.9,3107494,218000,0,0,0
W92000004,conversion,6842,Wales,0.50790097,3.498903077,149.9,3107494,218000,0,0,0
W92000004,commercial,10489,Wales,0.778628074,5.031757301,149.9,3107494,218000,0,0,0
W92000004,caravan,4368,Wales,0.324248968,4.189405638,149.9,3107494,218000,0,0,0
E12000001,detached,207943,North East,17.68704069,3.61435459,308.5,2647013,147214,308.5,2647013,147214
E12000001,semiDetached,470849,North East,40.04907798,6.02866133,308.5,2647013,147214,0,0,0
E12000001,terraced,326453,North East,27.76716453,5.687862653,308.5,2647013,147214,0,0,0
E12000001,flats,133229,North East,11.33208016,3.228674666,308.5,2647013,147214,0,0,0
E12000001,sharedHouse,24511,North East,2.08483601,2.898638133,308.5,2647013,147214,0,0,0
E12000001,conversion,4982,North East,0.423754763,2.547725099,308.5,2647013,147214,0,0,0
E12000001,commercial,6299,North East,0.535775041,3.021740799,308.5,2647013,147214,0,0,0
E12000001,caravan,1414,North East,0.120270822,1.356185799,308.5,2647013,147214,0,0,0
E12000002,detached,599838,North West,19.02192044,10.42606497,525.8,7417397,200172,525.8,7417397,200172
E12000002,semiDetached,1160271,North West,36.79423886,14.85588991,525.8,7417397,200172,0,0,0
E12000002,terraced,886330,North West,28.10708682,15.44272317,525.8,7417397,200172,0,0,0
E12000002,flats,394015,North West,12.49491026,9.548568617,525.8,7417397,200172,0,0,0
E12000002,sharedHouse,59053,North West,1.872674735,6.983528933,525.8,7417397,200172,0,0,0
E12000002,conversion,22246,North West,0.705459878,11.37629317,525.8,7417397,200172,0,0,0
E12000002,commercial,22714,North West,0.720300983,10.89630426,525.8,7417397,200172,0,0,0
E12000002,caravan,8937,North West,0.283408025,8.571592991,525.8,7417397,200172,0,0,0
E12000003,detached,504504,Yorkshire and The Humber,21.64641917,8.769020106,355.8,5480774,196877,355.8,5480774,196877
E12000003,semiDetached,877373,Yorkshire and The Humber,37.64486252,11.23371755,355.8,5480774,196877,0,0,0
E12000003,terraced,607775,Yorkshire and The Humber,26.0773996,10.58939794,355.8,5480774,196877,0,0,0
E12000003,flats,257824,Yorkshire and The Humber,11.0622837,6.248112775,355.8,5480774,196877,0,0,0
E12000003,sharedHouse,39602,Yorkshire and The Humber,1.699176799,4.683279644,355.8,5480774,196877,0,0,0
E12000003,conversion,20729,Yorkshire and The Humber,0.889405481,10.60052059,355.8,5480774,196877,0,0,0
E12000003,commercial,17066,Yorkshire and The Humber,0.732239565,8.186859577,355.8,5480774,196877,0,0,0
E12000003,caravan,5785,Yorkshire and The Humber,0.248213166,5.548468776,355.8,5480774,196877,0,0,0
E12000004,detached,676024,East Midlands,33.18184429,11.75028949,312.4,4880054,235400,312.4,4880054,235400
E12000004,semiDetached,727740,East Midlands,35.72026342,9.317844991,312.4,4880054,235400,0,0,0
E12000004,terraced,392641,East Midlands,19.27232247,6.841070782,312.4,4880054,235400,0,0,0
E12000004,flats,180578,East Midlands,8.863459104,4.376131426,312.4,4880054,235400,0,0,0
E12000004,sharedHouse,24983,East Midlands,1.226261221,2.954456223,312.4,4880054,235400,0,0,0
E12000004,conversion,12543,East Midlands,0.615658428,6.414314717,312.4,4880054,235400,0,0,0
E12000004,commercial,13204,East Midlands,0.648102837,6.334190429,312.4,4880054,235400,0,0,0
E12000004,caravan,9618,East Midlands,0.472088237,9.224748952,312.4,4880054,235400,0,0,0
E12000005,detached,595850,West Midlands,24.52569322,10.35674768,457.8,5950757,238238,457.8,5950757,238238
E12000005,semiDetached,913115,West Midlands,37.58459069,11.69135135,457.8,5950757,238238,0,0,0
E12000005,terraced,523411,West Midlands,21.54404232,9.119505348,457.8,5950757,238238,0,0,0
E12000005,flats,318415,West Midlands,13.10623245,7.71647647,457.8,5950757,238238,0,0,0
E12000005,sharedHouse,36940,West Midlands,1.520481845,4.368475078,457.8,5950757,238238,0,0,0
E12000005,conversion,13671,West Midlands,0.562709998,6.991158136,457.8,5950757,238238,0,0,0
E12000005,commercial,18368,West Midlands,0.756042516,8.811451817,457.8,5950757,238238,0,0,0
E12000005,caravan,9723,West Midlands,0.400206957,9.325455818,457.8,5950757,238238,0,0,0
E12000006,detached,776812,East of England,29.5502632,13.50213288,331.4,6335074,339502,331.4,6335074,339502
E12000006,semiDetached,816068,East of England,31.04357836,10.44877996,331.4,6335074,339502,0,0,0
E12000006,terraced,557954,East of England,21.22481058,9.721355659,331.4,6335074,339502,0,0,0
E12000006,flats,381093,East of England,14.49694193,9.235416571,331.4,6335074,339502,0,0,0
E12000006,sharedHouse,45269,East of England,1.722052266,5.353451497,331.4,6335074,339502,0,0,0
E12000006,conversion,17147,East of England,0.652279268,8.768735905,331.4,6335074,339502,0,0,0
E12000006,commercial,18298,East of England,0.696063804,8.777871589,331.4,6335074,339502,0,0,0
E12000006,caravan,16141,East of England,0.614010595,15.48104313,331.4,6335074,339502,0,0,0
E12000007,detached,208078,London,6.077239631,3.616701088,5597.6,8799728,521146,5597.6,8799728,521146
E12000007,semiDetached,636084,London,18.57781646,8.144298943,5597.6,8799728,521146,0,0,0
E12000007,terraced,727673,London,21.25281478,12.67840725,5597.6,8799728,521146,0,0,0
E12000007,flats,1380137,London,40.30903446,33.44627196,5597.6,8799728,521146,0,0,0
E12000007,sharedHouse,378564,London,11.05654679,44.76847319,5597.6,8799728,521146,0,0,0
E12000007,conversion,41112,London,1.20073951,21.02410162,5597.6,8799728,521146,0,0,0
E12000007,commercial,47836,London,1.397124324,22.94776835,5597.6,8799728,521146,0,0,0
E12000007,caravan,4406,London,0.128684041,4.225851932,5597.6,8799728,521146,0,0,0
E12000008,detached,1065035,South East,27.96861316,18.51187172,486.5,9278065,380237,486.5,9278065,380237
E12000008,semiDetached,1082651,South East,28.43122245,13.86205815,486.5,9278065,380237,0,0,0
E12000008,terraced,812592,South East,21.33927176,14.15796972,486.5,9278065,380237,0,0,0
E12000008,flats,640091,South East,16.80926689,15.51198009,486.5,9278065,380237,0,0,0
E12000008,sharedHouse,118927,South East,3.123111688,14.06414823,486.5,9278065,380237,0,0,0
E12000008,conversion,30739,South East,0.807229058,15.71949455,486.5,9278065,380237,0,0,0
E12000008,commercial,32687,South East,0.85838499,15.68052731,486.5,9278065,380237,0,0,0
E12000008,caravan,25243,South East,0.6629,24.21088977,486.5,9278065,380237,0,0,0
E12000009,detached,734775,South West,30.00453268,12.77146811,239.2,5701186,314037,239.2,5701186,314037
E12000009,semiDetached,694153,South West,28.34573356,8.88780341,239.2,5701186,314037,0,0,0
E12000009,terraced,546603,South West,22.3205302,9.523584681,239.2,5701186,314037,0,0,0
E12000009,flats,314386,South West,12.83795041,7.618837591,239.2,5701186,314037,0,0,0
E12000009,sharedHouse,93304,South West,3.810068276,11.03400646,239.2,5701186,314037,0,0,0
E12000009,conversion,25536,South West,1.042762406,13.05875314,239.2,5701186,314037,0,0,0
E12000009,commercial,21495,South West,0.877748195,10.31152857,239.2,5701186,314037,0,0,0
E12000009,caravan,18628,South West,0.760674267,17.86635719,239.2,5701186,314037,0,0,0
