region,regionGSSCode,period,Sales volume,reportingPeriod,avgPrice,date
London,E12000007,2000-01,11333,monthly,130411,01/01/2000
North East,E12000001,2000-01,2564,monthly,47604,01/01/2000
South East,E12000008,2000-01,12412,monthly,104358,01/01/2000
South West,E12000009,2000-01,7885,monthly,81381,01/01/2000
West Midlands Region,E12000005,2000-01,6080,monthly,63833,01/01/2000
London,E12000007,2000-02,11414,monthly,132705,01/02/2000
North East,E12000001,2000-02,2752,monthly,47757,01/02/2000
South East,E12000008,2000-02,13316,monthly,104721,01/02/2000
South West,E12000009,2000-02,8333,monthly,82595,01/02/2000
West Midlands Region,E12000005,2000-02,6650,monthly,64137,01/02/2000
London,E12000007,2000-03,14645,monthly,134286,01/03/2000
North East,E12000001,2000-03,4035,monthly,48678,01/03/2000
South East,E12000008,2000-03,17221,monthly,107765,01/03/2000
South West,E12000009,2000-03,10929,monthly,84214,01/03/2000
West Midlands Region,E12000005,2000-03,8887,monthly,64648,01/03/2000
London,E12000007,2000-04,12667,monthly,140670,01/04/2000
North East,E12000001,2000-04,3866,monthly,49463,01/04/2000
South East,E12000008,2000-04,16217,monthly,111947,01/04/2000
South West,E12000009,2000-04,10292,monthly,86912,01/04/2000
West Midlands Region,E12000005,2000-04,8051,monthly,66676,01/04/2000
London,E12000007,2000-05,13099,monthly,140862,01/05/2000
North East,E12000001,2000-05,4015,monthly,49780,01/05/2000
South East,E12000008,2000-05,16699,monthly,113099,01/05/2000
South West,E12000009,2000-05,10693,monthly,88141,01/05/2000
West Midlands Region,E12000005,2000-05,8506,monthly,67270,01/05/2000
London,E12000007,2000-06,14270,monthly,143542,01/06/2000
North East,E12000001,2000-06,4684,monthly,49003,01/06/2000
South East,E12000008,2000-06,18898,monthly,115640,01/06/2000
South West,E12000009,2000-06,11833,monthly,89406,01/06/2000
West Midlands Region,E12000005,2000-06,10020,monthly,68165,01/06/2000
London,E12000007,2000-07,13278,monthly,146228,01/07/2000
North East,E12000001,2000-07,4091,monthly,50416,01/07/2000
South East,E12000008,2000-07,17194,monthly,116597,01/07/2000
South West,E12000009,2000-07,10707,monthly,91214,01/07/2000
West Midlands Region,E12000005,2000-07,9127,monthly,68916,01/07/2000
London,E12000007,2000-08,12690,monthly,147284,01/08/2000
North East,E12000001,2000-08,4113,monthly,50702,01/08/2000
South East,E12000008,2000-08,16616,monthly,118743,01/08/2000
South West,E12000009,2000-08,10564,monthly,92258,01/08/2000
West Midlands Region,E12000005,2000-08,9019,monthly,69835,01/08/2000
London,E12000007,2000-09,11521,monthly,147316,01/09/2000
North East,E12000001,2000-09,4199,monthly,49432,01/09/2000
South East,E12000008,2000-09,14783,monthly,118166,01/09/2000
South West,E12000009,2000-09,9677,monthly,92647,01/09/2000
West Midlands Region,E12000005,2000-09,8790,monthly,69754,01/09/2000
London,E12000007,2000-10,11068,monthly,145626,01/10/2000
North East,E12000001,2000-10,4027,monthly,49501,01/10/2000
South East,E12000008,2000-10,14105,monthly,118370,01/10/2000
South West,E12000009,2000-10,9387,monthly,92617,01/10/2000
West Midlands Region,E12000005,2000-10,7744,monthly,69406,01/10/2000
London,E12000007,2000-11,11301,monthly,147666,01/11/2000
North East,E12000001,2000-11,3769,monthly,49024,01/11/2000
South East,E12000008,2000-11,14326,monthly,117929,01/11/2000
South West,E12000009,2000-11,9289,monthly,92584,01/11/2000
West Midlands Region,E12000005,2000-11,7871,monthly,70594,01/11/2000
London,E12000007,2000-12,11983,monthly,147483,01/12/2000
North East,E12000001,2000-12,4389,monthly,50362,01/12/2000
South East,E12000008,2000-12,15570,monthly,118983,01/12/2000
South West,E12000009,2000-12,10321,monthly,92016,01/12/2000
West Midlands Region,E12000005,2000-12,8656,monthly,71234,01/12/2000
London,E12000007,2001-01,10315,monthly,149543,01/01/2001
North East,E12000001,2001-01,2668,monthly,49837,01/01/2001
South East,E12000008,2001-01,11592,monthly,118668,01/01/2001
South West,E12000009,2001-01,7178,monthly,92100,01/01/2001
West Midlands Region,E12000005,2001-01,5867,monthly,71065,01/01/2001
London,E12000007,2001-02,9963,monthly,149776,01/02/2001
North East,E12000001,2001-02,2821,monthly,49045,01/02/2001
South East,E12000008,2001-02,11954,monthly,119198,01/02/2001
South West,E12000009,2001-02,7604,monthly,92717,01/02/2001
West Midlands Region,E12000005,2001-02,6124,monthly,71384,01/02/2001
London,E12000007,2001-03,12882,monthly,150941,01/03/2001
North East,E12000001,2001-03,4154,monthly,49587,01/03/2001
South East,E12000008,2001-03,15488,monthly,120770,01/03/2001
South West,E12000009,2001-03,10693,monthly,94674,01/03/2001
West Midlands Region,E12000005,2001-03,8282,monthly,72689,01/03/2001
London,E12000007,2001-04,12330,monthly,152865,01/04/2001
North East,E12000001,2001-04,4007,monthly,51735,01/04/2001
South East,E12000008,2001-04,16149,monthly,123754,01/04/2001
South West,E12000009,2001-04,10669,monthly,97798,01/04/2001
West Midlands Region,E12000005,2001-04,7752,monthly,74436,01/04/2001
London,E12000007,2001-05,13965,monthly,157156,01/05/2001
North East,E12000001,2001-05,4362,monthly,52412,01/05/2001
South East,E12000008,2001-05,18174,monthly,125086,01/05/2001
South West,E12000009,2001-05,11489,monthly,98508,01/05/2001
West Midlands Region,E12000005,2001-05,9202,monthly,75471,01/05/2001
London,E12000007,2001-06,15564,monthly,158760,01/06/2001
North East,E12000001,2001-06,5178,monthly,52266,01/06/2001
South East,E12000008,2001-06,20497,monthly,127693,01/06/2001
South West,E12000009,2001-06,13232,monthly,99762,01/06/2001
West Midlands Region,E12000005,2001-06,10469,monthly,76019,01/06/2001
London,E12000007,2001-07,16048,monthly,161122,01/07/2001
North East,E12000001,2001-07,4856,monthly,53353,01/07/2001
South East,E12000008,2001-07,20908,monthly,129751,01/07/2001
South West,E12000009,2001-07,13071,monthly,102517,01/07/2001
West Midlands Region,E12000005,2001-07,10007,monthly,76463,01/07/2001
London,E12000007,2001-08,17306,monthly,164628,01/08/2001
North East,E12000001,2001-08,5348,monthly,55425,01/08/2001
South East,E12000008,2001-08,22886,monthly,131743,01/08/2001
South West,E12000009,2001-08,14055,monthly,104465,01/08/2001
West Midlands Region,E12000005,2001-08,11534,monthly,78646,01/08/2001
London,E12000007,2001-09,13820,monthly,164820,01/09/2001
North East,E12000001,2001-09,4363,monthly,53720,01/09/2001
South East,E12000008,2001-09,17634,monthly,132693,01/09/2001
South West,E12000009,2001-09,11036,monthly,105619,01/09/2001
West Midlands Region,E12000005,2001-09,8874,monthly,78671,01/09/2001
London,E12000007,2001-10,14320,monthly,166189,01/10/2001
North East,E12000001,2001-10,4786,monthly,54201,01/10/2001
South East,E12000008,2001-10,18710,monthly,134038,01/10/2001
South West,E12000009,2001-10,11531,monthly,106765,01/10/2001
West Midlands Region,E12000005,2001-10,9858,monthly,78652,01/10/2001
London,E12000007,2001-11,14294,monthly,167214,01/11/2001
North East,E12000001,2001-11,5406,monthly,54769,01/11/2001
South East,E12000008,2001-11,18551,monthly,135285,01/11/2001
South West,E12000009,2001-11,11654,monthly,107209,01/11/2001
West Midlands Region,E12000005,2001-11,10494,monthly,79834,01/11/2001
London,E12000007,2001-12,11937,monthly,167693,01/12/2001
North East,E12000001,2001-12,4533,monthly,55879,01/12/2001
South East,E12000008,2001-12,16197,monthly,136468,01/12/2001
South West,E12000009,2001-12,10076,monthly,107601,01/12/2001
West Midlands Region,E12000005,2001-12,8973,monthly,80779,01/12/2001
London,E12000007,2002-01,10337,monthly,169841,01/01/2002
North East,E12000001,2002-01,3238,monthly,54746,01/01/2002
South East,E12000008,2002-01,12444,monthly,137154,01/01/2002
South West,E12000009,2002-01,7798,monthly,108960,01/01/2002
West Midlands Region,E12000005,2002-01,6658,monthly,80653,01/01/2002
London,E12000007,2002-02,10786,monthly,170502,01/02/2002
North East,E12000001,2002-02,3451,monthly,54983,01/02/2002
South East,E12000008,2002-02,13195,monthly,136801,01/02/2002
South West,E12000009,2002-02,8528,monthly,109637,01/02/2002
West Midlands Region,E12000005,2002-02,7379,monthly,80881,01/02/2002
London,E12000007,2002-03,13747,monthly,172749,01/03/2002
North East,E12000001,2002-03,4895,monthly,56509,01/03/2002
South East,E12000008,2002-03,17178,monthly,139425,01/03/2002
South West,E12000009,2002-03,11366,monthly,113298,01/03/2002
West Midlands Region,E12000005,2002-03,9880,monthly,83416,01/03/2002
London,E12000007,2002-04,14025,monthly,178218,01/04/2002
North East,E12000001,2002-04,4531,monthly,58178,01/04/2002
South East,E12000008,2002-04,17711,monthly,141861,01/04/2002
South West,E12000009,2002-04,11365,monthly,115278,01/04/2002
West Midlands Region,E12000005,2002-04,9200,monthly,85464,01/04/2002
London,E12000007,2002-05,17735,monthly,182805,01/05/2002
North East,E12000001,2002-05,6280,monthly,60166,01/05/2002
South East,E12000008,2002-05,23418,monthly,146013,01/05/2002
South West,E12000009,2002-05,14506,monthly,118717,01/05/2002
West Midlands Region,E12000005,2002-05,12502,monthly,88015,01/05/2002
London,E12000007,2002-06,14368,monthly,186038,01/06/2002
