codeHours,categoryHours,valueHours,areaNameHours,avgHoursPerReg,avgHoursPerCat
W92000004,1,123617,Wales,9.033352309,4.32974229
W92000004,2,285949,Wales,20.89581578,5.270039073
W92000004,3,818788,Wales,59.83319827,4.984206202
W92000004,4,140097,Wales,10.23763365,4.570849687
E12000001,1,105030,North East,9.22889559,3.678724065
E12000001,2,240146,North East,21.10142207,4.425889943
E12000001,3,687220,North East,60.38542919,4.183312636
E12000001,4,105660,North East,9.284253147,3.447297072
E12000002,1,321084,North West,9.608279272,11.2461148
E12000002,2,678636,North West,20.30784534,12.50725911
E12000002,3,2038033,North West,60.98712558,12.40611333
E12000002,4,303990,North West,9.09674981,9.918075308
E12000003,1,238550,Yorkshire and The Humber,9.691760967,8.355323485
E12000003,2,518863,Yorkshire and The Humber,21.08026062,9.562643282
E12000003,3,1459903,Yorkshire and The Humber,59.31264268,8.886863983
E12000003,4,244053,Yorkshire and The Humber,9.915335734,7.962551509
E12000004,1,221782,East Midlands,9.760135544,7.768016571
E12000004,2,449136,East Midlands,19.76548249,8.277574915
E12000004,3,1359550,East Midlands,59.83079005,8.27598541
E12000004,4,241857,East Midlands,10.64359192,7.890904108
E12000005,1,259933,West Midlands,9.850092217,9.104272896
E12000005,2,527767,West Midlands,19.99959074,9.726743971
E12000005,3,1585887,West Midlands,60.096768,9.65376608
E12000005,4,265302,West Midlands,10.05354905,8.655828203
E12000006,1,326076,East of England,10.76641305,11.4209619
E12000006,2,572535,East of England,18.90402329,10.55181805
E12000006,3,1770151,East of England,58.44703945,10.77543588
E12000006,4,359879,East of England,11.88252421,11.74152776
E12000007,1,464497,London,10.65341277,16.2692211
E12000007,2,758156,London,17.38859199,13.97281244
E12000007,3,2555494,London,58.6112126,15.55605241
E12000007,4,581930,London,13.34678264,18.98623496
E12000008,1,490872,South East,10.97710777,17.1930176
E12000008,2,829962,South East,18.55999592,15.29619677
E12000008,3,2618494,South East,58.55597962,15.93955216
E12000008,4,532451,South East,11.90691669,17.37191722
E12000009,1,303625,South West,11.2773898,10.63460529
E12000009,2,564787,South West,20.97759788,10.40902244
E12000009,3,1534131,South West,56.98145178,9.338711907
E12000009,4,289791,South West,10.76356054,9.454814177
