region,Region GSS code,Period,Sales volume,Reporting period,percentage Change ,date
London,E12000007,2000-01,11333,monthly,23.38,01/01/2000
North East,E12000001,2000-01,2564,monthly,4.7,01/01/2000
South East,E12000008,2000-01,12412,monthly,19.48,01/01/2000
South West,E12000009,2000-01,7885,monthly,17.18,01/01/2000
West Midlands Region,E12000005,2000-01,6080,monthly,9.54,01/01/2000
London,E12000007,2000-02,11414,monthly,26.06,01/02/2000
North East,E12000001,2000-02,2752,monthly,8.62,01/02/2000
South East,E12000008,2000-02,13316,monthly,19.76,01/02/2000
South West,E12000009,2000-02,8333,monthly,19.05,01/02/2000
West Midlands Region,E12000005,2000-02,6650,monthly,11.21,01/02/2000
London,E12000007,2000-03,14645,monthly,25.04,01/03/2000
North East,E12000001,2000-03,4035,monthly,6.97,01/03/2000
South East,E12000008,2000-03,17221,monthly,22.43,01/03/2000
South West,E12000009,2000-03,10929,monthly,18.74,01/03/2000
West Midlands Region,E12000005,2000-03,8887,monthly,10.83,01/03/2000
London,E12000007,2000-04,12667,monthly,28.32,01/04/2000
North East,E12000001,2000-04,3866,monthly,7.43,01/04/2000
South East,E12000008,2000-04,16217,monthly,24.73,01/04/2000
South West,E12000009,2000-04,10292,monthly,21.5,01/04/2000
West Midlands Region,E12000005,2000-04,8051,monthly,12.72,01/04/2000
London,E12000007,2000-05,13099,monthly,26.66,01/05/2000
North East,E12000001,2000-05,4015,monthly,7.81,01/05/2000
South East,E12000008,2000-05,16699,monthly,24.56,01/05/2000
South West,E12000009,2000-05,10693,monthly,21.54,01/05/2000
West Midlands Region,E12000005,2000-05,8506,monthly,12.33,01/05/2000
London,E12000007,2000-06,14270,monthly,26.67,01/06/2000
North East,E12000001,2000-06,4684,monthly,2.79,01/06/2000
South East,E12000008,2000-06,18898,monthly,25.03,01/06/2000
South West,E12000009,2000-06,11833,monthly,21.42,01/06/2000
West Midlands Region,E12000005,2000-06,10020,monthly,11.92,01/06/2000
London,E12000007,2000-07,13278,monthly,24.95,01/07/2000
North East,E12000001,2000-07,4091,monthly,5.58,01/07/2000
South East,E12000008,2000-07,17194,monthly,23.86,01/07/2000
South West,E12000009,2000-07,10707,monthly,21.66,01/07/2000
West Midlands Region,E12000005,2000-07,9127,monthly,11.77,01/07/2000
London,E12000007,2000-08,12690,monthly,23.4,01/08/2000
North East,E12000001,2000-08,4113,monthly,6.26,01/08/2000
South East,E12000008,2000-08,16616,monthly,23,01/08/2000
South West,E12000009,2000-08,10564,monthly,21.56,01/08/2000
West Midlands Region,E12000005,2000-08,9019,monthly,11.74,01/08/2000
London,E12000007,2000-09,11521,monthly,20.15,01/09/2000
North East,E12000001,2000-09,4199,monthly,3.55,01/09/2000
South East,E12000008,2000-09,14783,monthly,19.19,01/09/2000
South West,E12000009,2000-09,9677,monthly,18.62,01/09/2000
West Midlands Region,E12000005,2000-09,8790,monthly,11.53,01/09/2000
London,E12000007,2000-10,11068,monthly,18.39,01/10/2000
North East,E12000001,2000-10,4027,monthly,1.08,01/10/2000
South East,E12000008,2000-10,14105,monthly,18.37,01/10/2000
South West,E12000009,2000-10,9387,monthly,17.27,01/10/2000
West Midlands Region,E12000005,2000-10,7744,monthly,9.87,01/10/2000
London,E12000007,2000-11,11301,monthly,17.39,01/11/2000
North East,E12000001,2000-11,3769,monthly,0.68,01/11/2000
South East,E12000008,2000-11,14326,monthly,16.3,01/11/2000
South West,E12000009,2000-11,9289,monthly,15.9,01/11/2000
West Midlands Region,E12000005,2000-11,7871,monthly,11.33,01/11/2000
London,E12000007,2000-12,11983,monthly,15.3,01/12/2000
North East,E12000001,2000-12,4389,monthly,4.27,01/12/2000
South East,E12000008,2000-12,15570,monthly,15.13,01/12/2000
South West,E12000009,2000-12,10321,monthly,13.31,01/12/2000
West Midlands Region,E12000005,2000-12,8656,monthly,11.4,01/12/2000
London,E12000007,2001-01,10315,monthly,14.67,01/01/2001
North East,E12000001,2001-01,2668,monthly,4.69,01/01/2001
South East,E12000008,2001-01,11592,monthly,13.71,01/01/2001
South West,E12000009,2001-01,7178,monthly,13.17,01/01/2001
West Midlands Region,E12000005,2001-01,5867,monthly,11.33,01/01/2001
London,E12000007,2001-02,9963,monthly,12.86,01/02/2001
North East,E12000001,2001-02,2821,monthly,2.7,01/02/2001
South East,E12000008,2001-02,11954,monthly,13.82,01/02/2001
South West,E12000009,2001-02,7604,monthly,12.26,01/02/2001
West Midlands Region,E12000005,2001-02,6124,monthly,11.3,01/02/2001
London,E12000007,2001-03,12882,monthly,12.4,01/03/2001
North East,E12000001,2001-03,4154,monthly,1.87,01/03/2001
South East,E12000008,2001-03,15488,monthly,12.07,01/03/2001
South West,E12000009,2001-03,10693,monthly,12.42,01/03/2001
West Midlands Region,E12000005,2001-03,8282,monthly,12.44,01/03/2001
London,E12000007,2001-04,12330,monthly,8.67,01/04/2001
North East,E12000001,2001-04,4007,monthly,4.59,01/04/2001
South East,E12000008,2001-04,16149,monthly,10.55,01/04/2001
South West,E12000009,2001-04,10669,monthly,12.53,01/04/2001
West Midlands Region,E12000005,2001-04,7752,monthly,11.64,01/04/2001
London,E12000007,2001-05,13965,monthly,11.57,01/05/2001
North East,E12000001,2001-05,4362,monthly,5.29,01/05/2001
South East,E12000008,2001-05,18174,monthly,10.6,01/05/2001
South West,E12000009,2001-05,11489,monthly,11.76,01/05/2001
West Midlands Region,E12000005,2001-05,9202,monthly,12.19,01/05/2001
London,E12000007,2001-06,15564,monthly,10.6,01/06/2001
North East,E12000001,2001-06,5178,monthly,6.66,01/06/2001
South East,E12000008,2001-06,20497,monthly,10.42,01/06/2001
South West,E12000009,2001-06,13232,monthly,11.58,01/06/2001
West Midlands Region,E12000005,2001-06,10469,monthly,11.52,01/06/2001
London,E12000007,2001-07,16048,monthly,10.19,01/07/2001
North East,E12000001,2001-07,4856,monthly,5.83,01/07/2001
South East,E12000008,2001-07,20908,monthly,11.28,01/07/2001
South West,E12000009,2001-07,13071,monthly,12.39,01/07/2001
West Midlands Region,E12000005,2001-07,10007,monthly,10.95,01/07/2001
London,E12000007,2001-08,17306,monthly,11.78,01/08/2001
North East,E12000001,2001-08,5348,monthly,9.32,01/08/2001
South East,E12000008,2001-08,22886,monthly,10.95,01/08/2001
South West,E12000009,2001-08,14055,monthly,13.23,01/08/2001
West Midlands Region,E12000005,2001-08,11534,monthly,12.62,01/08/2001
London,E12000007,2001-09,13820,monthly,11.88,01/09/2001
North East,E12000001,2001-09,4363,monthly,8.67,01/09/2001
South East,E12000008,2001-09,17634,monthly,12.29,01/09/2001
South West,E12000009,2001-09,11036,monthly,14,01/09/2001
West Midlands Region,E12000005,2001-09,8874,monthly,12.78,01/09/2001
London,E12000007,2001-10,14320,monthly,14.12,01/10/2001
North East,E12000001,2001-10,4786,monthly,9.49,01/10/2001
South East,E12000008,2001-10,18710,monthly,13.24,01/10/2001
South West,E12000009,2001-10,11531,monthly,15.28,01/10/2001
West Midlands Region,E12000005,2001-10,9858,monthly,13.32,01/10/2001
London,E12000007,2001-11,14294,monthly,13.24,01/11/2001
North East,E12000001,2001-11,5406,monthly,11.72,01/11/2001
South East,E12000008,2001-11,18551,monthly,14.72,01/11/2001
South West,E12000009,2001-11,11654,monthly,15.8,01/11/2001
West Midlands Region,E12000005,2001-11,10494,monthly,13.09,01/11/2001
London,E12000007,2001-12,11937,monthly,13.7,01/12/2001
North East,E12000001,2001-12,4533,monthly,10.95,01/12/2001
South East,E12000008,2001-12,16197,monthly,14.7,01/12/2001
South West,E12000009,2001-12,10076,monthly,16.94,01/12/2001
West Midlands Region,E12000005,2001-12,8973,monthly,13.4,01/12/2001
London,E12000007,2002-01,10337,monthly,13.57,01/01/2002
North East,E12000001,2002-01,3238,monthly,9.85,01/01/2002
South East,E12000008,2002-01,12444,monthly,15.58,01/01/2002
South West,E12000009,2002-01,7798,monthly,18.31,01/01/2002
West Midlands Region,E12000005,2002-01,6658,monthly,13.49,01/01/2002
London,E12000007,2002-02,10786,monthly,13.84,01/02/2002
North East,E12000001,2002-02,3451,monthly,12.11,01/02/2002
South East,E12000008,2002-02,13195,monthly,14.77,01/02/2002
South West,E12000009,2002-02,8528,monthly,18.25,01/02/2002
West Midlands Region,E12000005,2002-02,7379,monthly,13.3,01/02/2002
London,E12000007,2002-03,13747,monthly,14.45,01/03/2002
North East,E12000001,2002-03,4895,monthly,13.96,01/03/2002
South East,E12000008,2002-03,17178,monthly,15.45,01/03/2002
South West,E12000009,2002-03,11366,monthly,19.67,01/03/2002
West Midlands Region,E12000005,2002-03,9880,monthly,14.76,01/03/2002
London,E12000007,2002-04,14025,monthly,16.58,01/04/2002
North East,E12000001,2002-04,4531,monthly,12.45,01/04/2002
South East,E12000008,2002-04,17711,monthly,14.63,01/04/2002
South West,E12000009,2002-04,11365,monthly,17.87,01/04/2002
West Midlands Region,E12000005,2002-04,9200,monthly,14.82,01/04/2002
London,E12000007,2002-05,17735,monthly,16.32,01/05/2002
North East,E12000001,2002-05,6280,monthly,14.8,01/05/2002
South East,E12000008,2002-05,23418,monthly,16.73,01/05/2002
South West,E12000009,2002-05,14506,monthly,20.51,01/05/2002
West Midlands Region,E12000005,2002-05,12502,monthly,16.62,01/05/2002
London,E12000007,2002-06,14368,monthly,17.18,01/06/2002
North East,E12000001,2002-06,4696,monthly,16.63,01/06/2002
South East,E12000008,2002-06,18724,monthly,16.78,01/06/2002
South West,E12000009,2002-06,11439,monthly,22.76,01/06/2002
West Midlands Region,E12000005,2002-06,9611,monthly,19.29,01/06/2002
London,E12000007,2002-07,18061,monthly,18.64,01/07/2002
North East,E12000001,2002-07,5572,monthly,18.65,01/07/2002
South East,E12000008,2002-07,23206,monthly,18.07,01/07/2002
South West,E12000009,2002-07,13959,monthly,23.25,01/07/2002
West Midlands Region,E12000005,2002-07,11814,monthly,20.89,01/07/2002
London,E12000007,2002-08,17567,monthly,18.65,01/08/2002
North East,E12000001,2002-08,5792,monthly,17.32,01/08/2002
South East,E12000008,2002-08,23217,monthly,19.68,01/08/2002
South West,E12000009,2002-08,13671,monthly,24.34,01/08/2002
West Midlands Region,E12000005,2002-08,11753,monthly,20.96,01/08/2002
London,E12000007,2002-09,15091,monthly,19.55,01/09/2002
North East,E12000001,2002-09,4805,monthly,19.98,01/09/2002
South East,E12000008,2002-09,18618,monthly,20.46,01/09/2002
South West,E12000009,2002-09,10765,monthly,25.16,01/09/2002
West Midlands Region,E12000005,2002-09,9688,monthly,23.06,01/09/2002
London,E12000007,2002-10,14509,monthly,19.8,01/10/2002
North East,E12000001,2002-10,5024,monthly,21.86,01/10/2002
